화재발생연도,시군구,사망자수,부상자수,재산피해금액,총출동횟수,출동횟수_여름,출동횟수_겨울
2017,강남구,0,11,1565258,502,120,129
2017,강동구,0,12,418593,269,73,63
2017,강북구,0,6,339146,186,41,51
2017,강서구,3,22,706871,364,81,89
2017,관악구,3,20,654690,286,69,82
2017,광진구,1,6,433742,200,44,37
2017,구로구,1,5,460568,260,71,54
2017,금천구,2,7,605549,174,49,33
2017,노원구,3,18,566821,279,75,80
2017,도봉구,2,6,288836,192,59,37
2017,동대문구,1,2,1122454,200,48,54
2017,동작구,3,10,277144,222,64,34
2017,마포구,1,7,1359029,235,59,62
2017,서대문구,1,15,397573,232,69,36
2017,서초구,2,13,695667,242,51,65
2017,성동구,1,11,621324,197,48,54
2017,성북구,1,8,400640,183,39,49
2017,송파구,3,13,639227,318,74,94
2017,양천구,0,7,300631,244,67,53
2017,영등포구,1,16,1093594,239,64,65
2017,용산구,0,6,262910,167,45,37
2017,은평구,0,3,218200,159,32,51
2017,종로구,1,3,1077665,234,69,55
2017,중구,5,14,485392,198,47,48
2017,중랑구,2,5,332366,196,38,53
2018,강남구,0,23,1624983,436,111,134
2018,강동구,4,15,540625,324,88,102
2018,강북구,4,2,216838,203,42,64
2018,강서구,2,18,393401,383,109,94
2018,관악구,1,20,816562,337,89,99
2018,광진구,0,7,658185,203,53,52
2018,구로구,2,3,239327,263,71,63
2018,금천구,0,8,203806,168,57,31
2018,노원구,2,10,331000,229,53,54
2018,도봉구,0,8,201498,237,62,66
2018,동대문구,1,3,709487,203,56,56
2018,동작구,4,9,312925,205,58,57
2018,마포구,2,4,282984,254,71,71
2018,서대문구,4,9,7877501,229,69,50
2018,서초구,0,15,848067,242,55,90
2018,성동구,0,12,616085,212,47,58
2018,성북구,0,10,487565,215,61,60
2018,송파구,0,28,970251,340,90,95
2018,양천구,1,11,357569,219,61,39
2018,영등포구,4,23,704193,258,58,77
2018,용산구,1,6,394903,211,50,59
2018,은평구,5,10,419503,214,47,58
2018,종로구,14,22,574300,254,70,71
2018,중구,0,23,1257005,275,74,76
2018,중랑구,2,8,201421,254,55,72
2019,강남구,1,23,1677681,456,125,120
2019,강동구,1,10,533359,254,69,58
2019,강북구,1,9,217805,167,41,38
2019,강서구,0,24,666297,331,98,68
2019,관악구,3,6,654586,311,70,83
2019,광진구,0,8,392843,195,50,44
2019,구로구,0,7,411829,247,58,64
2019,금천구,0,4,671767,141,30,31
2019,노원구,0,6,185642,203,46,49
2019,도봉구,3,8,768448,179,38,54
2019,동대문구,5,21,870342,195,51,53
2019,동작구,2,10,179243,208,53,52
2019,마포구,0,13,393425,246,69,70
2019,서대문구,1,12,220960,269,67,77
2019,서초구,2,42,970247,242,57,61
2019,성동구,2,7,724217,194,45,59
2019,성북구,0,10,464341,191,56,49
2019,송파구,2,19,958829,335,87,81
2019,양천구,2,7,465720,163,53,27
2019,영등포구,1,48,3099954,265,63,64
2019,용산구,0,5,267865,238,67,47
2019,은평구,3,20,2412769,196,34,62
2019,종로구,4,16,801094,232,63,60
2019,중구,3,17,74077097,213,39,51
2019,중랑구,1,9,322650,210,49,54
2020,강남구,1,18,1451556,387,98,100
2020,강동구,3,19,363839,221,69,49
2020,강북구,1,5,208380,186,57,44
2020,강서구,3,5,200966,212,53,42
2020,관악구,2,15,646149,219,47,60
2020,광진구,0,4,366714,186,51,36
2020,구로구,2,6,398359,156,38,42
2020,금천구,2,9,419587,127,30,35
2020,노원구,0,11,383922,172,48,42
2020,도봉구,0,7,491309,163,36,50
2020,동대문구,6,17,3392558,152,34,43
2020,동작구,0,7,194251,151,37,39
2020,마포구,3,29,2069049,240,62,59
2020,서대문구,3,4,928985,220,40,54
2020,서초구,1,10,555349,240,51,56
2020,성동구,0,2,507827,187,44,51
2020,성북구,0,11,661555,173,41,46
2020,송파구,1,7,379677,307,93,66
2020,양천구,0,4,215416,153,38,35
2020,영등포구,3,8,674796,225,52,61
2020,용산구,0,5,269835,192,49,41
2020,은평구,2,6,504788,192,46,48
2020,종로구,2,5,639751,217,49,50
2020,중구,0,10,1284422,185,54,41
2020,중랑구,2,12,229566,225,57,54
2021,강남구,2,15,1354949,391,91,112
2021,강동구,1,12,346741,211,45,56
2021,강북구,5,14,410205,146,38,29
2021,강서구,2,12,559614,223,50,61
2021,관악구,2,17,562294,259,54,74
2021,광진구,2,10,889681,205,56,46
2021,구로구,1,7,1765589,173,33,52
2021,금천구,2,8,825255,118,28,37
2021,노원구,1,12,432605,173,49,48
2021,도봉구,0,6,219916,140,34,33
2021,동대문구,3,15,1209541,155,40,51
2021,동작구,3,9,307365,129,27,42
2021,마포구,2,7,591687,242,53,64
2021,서대문구,0,7,249728,262,52,77
2021,서초구,0,9,549807,231,51,69
2021,성동구,0,5,458412,191,54,48
2021,성북구,4,46,493231,168,37,56
2021,송파구,1,5,788289,263,59,64
2021,양천구,2,3,576094,151,42,42
2021,영등포구,0,8,913698,208,53,50
2021,용산구,0,5,296793,176,36,47
2021,은평구,3,8,875722,160,42,57
2021,종로구,0,12,465499,192,54,48
2021,중구,0,16,2780374,171,49,41
2021,중랑구,1,12,345257,213,59,63
